#ID	Name	Desc	iExp	iNeigongType	sIcon1	sCIcon1	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit	EffectType	Accumulate	Percent	Value1	Value2	ValueLimit
10123	Tử Hà Thần Công	[00FF00]Lưu Mây Khói Hà[-] : Hồi phục 5% Sinh lực. <br>[FF8C00]Trùng Tiêu[-] : Liên tục tăng Sát thương, Phòng ngự, Né tránh, Phản kích, Bạo kích <br>[40E0D0]Thần Công[-] : Có tỉ lệ hóa giải các trạng thái bất lợi.	0	0	0	0	0	0	1	5	5	5	7	1	1	3	4	35	5	1	1	3	4	35	6	1	1	3	4	35	3	1	1	3	4	35	4	1	1	3	4	35	20	0	0	0	2	0																		
10124	Hỗn Nguyên Công	[00FF00]Bão nguyên[-] : Hồi phục 5% Sinh lực. <br>[FF8C00]Huyền Kính[-] : Liên tục tăng Sát thương, Phòng ngự, tối đa 20%. <br>[FFA500]Hỗn Nguyên[-] : Nội lực lớn hơn 50% Sát thương tăng 20%. <br>[40E0D0]Hỗn Công[-] : Có tỉ lệ hóa giải các trạng thái bất lợi.	0	0	0	0	0	0	1	5	5	5	3	1	1	1	2	20	4	1	1	1	2	20	20	0	0	0	1	0	1	10	1	0	910002	50																														
10125	Bế Huyệt Công	[F0E68C]Phong Huyệt[-] : Miễn dịch Nội Thương, Trúng Độc, Bạo kích, Choáng Váng. <br>[40E0D0]Bế mạch[-] : Có tỉ lệ hóa giải các trạng thái bất lợi.	0	0	0	0	10	4	0	0	0	0	33	4	0	0	0	0	24	4	0	0	0	0	31	4	0	0	0	0	20	0	0	0	1	0																														
10126	Thánh Đường Chi Lực	Miễn dịch Phản kích và Bạo kích.<br>Chiêu thức tuyệt đối chính xác.	0	0	0	0	8	4	0	0	0	0	24	4	0	0	0	0	25	0	0	0	0	0																																										
10127	Dã Thú Bản Năng: Kê Sư Phó	[AFEEEE]Hình Thể Người Mê[-] : Né tránh +50%<br>[6495ED]Thiên Hữu[-] : Giảm 40% Sát thương phải nhận.<br>[FFA500]Kê Phi Cẩu Khiêu[-] : Sinh lực dưới 80% Di chuyển + 3, Hành động + 1	0	0	0	0	6	0	1	50	50	0	32	0	1	50	50	0	0	10	1	500204	0	80	10	4	0	0	0	0																																				
10128	Dã Thú Bản Năng: Lão Nhị	[FFA500]Bì Thô Nhục Hậu[-] : Sinh lực lớn hơn 50%, Giảm 20% Sát thương phải nhận.<br>[32CD32]Thực Áp[-] : Kẻ địch trong 1 ô giảm 15% Sát thương và Phòng ngự.<br>[FFA500]Lão Nhị Tức Giận[-] : Sinh lực thấp hơn 50% phát động Cuồng Bạo.	0	0	0	0	0	10	1	0	500205	50	3	9	1	15	15	1	4	9	1	15	15	1	0	10	1	600021	0	50	10	4	0	0	0	0																														
10129	Dã Thú Bản Năng: Bạch Lang	[FF8C00]Sát Phệ Hấp Huyết[-] : Hấp thu 150% Sinh lực từ Sát thương gây ra. <br>[FFA500]Bản Tính Trung Thành[-] : Sinh lực lớn hơn 60% Bảo hộ đồng đội 1 ô. <br>[FFFF00]Bản Năng Sinh Tồn[-] : Sinh lực thấp hơn 50% tăng 60% Né tránh.<br>[F0E68C]Vùng Địa Cực Kháng Tính[-] : Giảm 25% Sát thương phải nhận. Hóa giải trạng thái bất lợi.	0	0	0	0	17	0	1	150	150	0	0	10	1	0	500206	60	0	10	1	500207	0	50	32	0	1	25	25	0	20	4	0	0	0	0	10	4	0	0	0	0																								
10130	Dã Thú Bản Năng: Tiểu Hắc Lang	[AFEEEE]Nhỏ Nhắn Xinh Xắn[-] : Né tránh tăng 40%.<br>[6495ED]Ánh Mắt Vô Tội[-] : Giảm 30% Sát thương phải nhận.<br>[32CD32]Nghịch Ngợm Gây Sự[-] : Bạo kích và Né tránh thì Kẻ địch bị Điểm Huyệt.	0	0	0	0	6	0	1	40	40	0	32	0	1	30	30	0	6	7	0	0	500002	0	7	7	0	0	500002	0	10	4	0	0	0	0																														
10131	Dã Thú Bản Năng: Tiểu Hầu Tử	[AFEEEE]Nhỏ Nhắn Xinh Xắn[-] : Né tránh tăng 40%<br> [6495ED]Ánh Mắt Vô Tội[-] : Giảm 30% Sát thương phải nhận.<br>[FFA500]Bát Hầu[-] : Bạo kích phát động Tả Hữu Hỗ Bác. <br>[FF8C00]Men Say[-] : Liên tục tăng Sát thương, phòng ngự, tối đa 400	0	0	0	0	6	0	1	40	40	0	32	0	1	30	30	0	7	7	0	500015	0	0	3	1	0	40	60	400	4	1	0	40	60	400	10	4	0	0	0	0																								
10132	Tiểu Vô Tướng Công	[40E0D0]Vô tướng[-] :  Nội lực thấp hơn 50% Sát thương tăng 50%.<br>[DDA0DD]Vô Vãng[-] : Nội lực lớn hơn 50% Phản kích tăng 50%.<br>[FFA500]Vô Niệm[-] : Phản kích phát động Choáng Váng, vô hạn Phản kích. <br>[40E0D0]Vô Định[-] : Hóa giải trạng thái bất lợi. Miễn dịch Choáng Váng.	0	0	0	0	5	7	0	0	500001	0	1	10	1	0	910005	50	30	4	0	0	0	0	29	4	0	0	0	0	1	10	1	0	700009	30	33	4	0	0	0	0	20	4	0	0	0	0	1	10	1	910006	0	50		
